id_cdec,basin_cdec,group_cdec,lat_cdec,lon_cdec,nearby_cty_cdec,gage_oper_cdec,data_collect_cdec,county_cdec,name_cdec,gelev_ft_cdec
CBR,American R,Sacramento River,38.772,-120.816,Placerville,"Pacific Gas & Electric Company, Auburn",,El Dorado,American River At Chili Bar,931
AFO,American R,Sacramento River,38.6354599,-121.2277298,Fair Oaks,USGS,,Sacramento,American River At Fair Oaks,72
AMK,American R,Sacramento River,38.764,-120.325,Kyburz,USGS,,El Dorado,American Sf Nr Kyburz,3840
ACK,American R,Sacramento River,38.6416,-121.3825,Sacramento,USGS,,Sacramento,Arcade Ck Nr Del Paso Hts,50
LON,American R,Sacramento River,38.983,-120.323,Meeks Bay,SMUD,,El Dorado,Loon Lake (smud),6410
OXB,American R,Sacramento River,39.006,-120.76,Foresthill,PCWA,,Placer,Middle Fk American R Nr Oxbow Ph,1070
NFD,American R,Sacramento River,38.93600845,-121.0238342,Auburn,USGS,,Placer,Nf American R At North Fork Dam,715
RBG,American R,Sacramento River,38.955,-120.401,Kyburz,SMUD,Data Xchg-smud,El Dorado,Sf Rubicon River Below Gerle Ck,4970
SVC,American R,Sacramento River,38.824,-120.538,Pollock Pines,SMUD,,El Dorado,Silver Cr Blw Camino Dam,1863
BRK,Cache Cr,Sacramento River,38.95755386,-122.3427505,Rumsey,USGS,,Colusa,Bear Ck Ab Holsten Cyn Nr Rumsey,920
RUM,Cache Cr,Sacramento River,38.89,-122.238,Woodland,USGS & DWR,,Yolo,Cache Creek At Rumsey Bridge,400
CCY,Cache Cr,Sacramento River,38.72663498,-121.8071518,Yolo,USGS,,Yolo,Cache Creek At Yolo,86
RYF,Cache Cr,Sacramento River,38.193854,-121.658005,Rio Vista,USGS,Data Xchg-usgs,Solano,Cache Slough Above Ryer Island Ferry,2
NCL,Cache Cr,Sacramento River,39.16556,-122.61889,Clearlake Oaks,USGS,Satellite,Lake,N Fk Cache Ck Nr Clearlake Oaks 8ne,1840
NFC,Cache Cr,Sacramento River,39.16544724,-122.6199875,,USGS,,Lake,N Fork Cache Creek At Hough Springs,1534
PCG,Putah Cr,Sacramento River,38.77878952,-122.5174789,Coyote Valley,USGS,,Lake,Putah Creek Near Guenoc,914
PUT,Putah Cr,Sacramento River,38.51518631,-122.0819168,Winters,USGS,,Yolo,Putah Creek Near Winters,161
FAL,Delta,San Joaquin River,38.0558,-121.6669,Oakley,USGS & DWR,,Contra Costa,False River Near Oakley,0
JTR,Delta,San Joaquin River,37.9224,-121.5182,Stockton,DWR/North Central Region ,,San Joaquin,Jones Tract,-19
MDM,Delta,San Joaquin River,37.943,-121.534,Knightsen,USGS,,San Joaquin,Middle River At Middle River,10
OMR,Delta,San Joaquin River,37.97,-121.5711,,DWR/Operations & Maintenance,Computed,San Joaquin,Old & Middle Rvrs Tidally Filtered Est,10
OBI,Delta,San Joaquin River,37.96936798,-121.5722198,Brentwood,USGS & DWR,,San Joaquin,Old River At Bacon Island (usgs),10
ODM,Delta,San Joaquin River,37.8102951,-121.5421448,Tracy,USGS & DWR,,San Joaquin,Old River At Delta Mendota Canal,10
OSJ,Delta,San Joaquin River,38.0711,-121.5789,Terminous,USGS & DWR,,San Joaquin,Old River At Franks Tract Near Terminous,0
OH4,Delta,San Joaquin River,37.891109,-121.569168,Byron,USGS,,Contra Costa,Old River At Highway 4,10
OLD,Delta,Sacramento River,37.80480957,-121.4495621,Tracy,DWR/Operations & Maintenance,,San Joaquin,Old River Near Tracy,5
VCU,Delta,San Joaquin River,37.8717,-121.5283,Stockton,USGS & DWR,,San Joaquin,Victoria Canal Near Byron,0
CMF,Cosumnes R,San Joaquin River,38.6245079,-120.7024536,Somerset,DWR/North Central Region ,,El Dorado,Cosumnes R Mid Fork Nr Somerset,1648
CNF,Cosumnes R,San Joaquin River,38.58903122,-120.8444901,El Dorado,DWR/North Central Region ,,El Dorado,Cosumnes R N Fork Nr El Dorado,840
MHB,Cosumnes R,San Joaquin River,38.50018692,-121.0452194,Jackson,USGS,,Sacramento,Cosumnes River At Michigan Bar,168
MOK,Mokelumne R,San Joaquin River,38.1061,-121.5711,Isleton,USGS & DWR,,San Joaquin,Mokelumne R At San Joaquin River,0
M38,Mokelumne R,San Joaquin River,38.446667,-120.489166,West Point,PG&E,Data Xchg-pge,Amador,Nf Mokelumne R Ab Tiger Creek,2338
M46,Mokelumne R,San Joaquin River,38.420834,-120.548889,West Point,PG&E,Data Xchg-pge,Amador,Nf Mokelumne R Bl Electra Diversion,1980
M11,Mokelumne R,San Joaquin River,38.49361,-120.220001,Pioneer,PG&E,Data Xchg-pge,Calaveras,Nf Mokelumne R Bl Salt Springs Dam,3590
MBT,Mokelumne R,San Joaquin River,38.440277,-120.503891,West Point,PG&E,Data Xchg-pge,Amador,Nf Mokelumne R Bl Tiger Creek Afterbay,2220
MRS,Calaveras R,San Joaquin River,38.054,-121.012,Bellota,USACE,,Calaveras,Mormon Slough At Bellota (usace),130
BCC,Stanislaus R,San Joaquin River,37.96103668,-120.6152039,Copperopolis,USGS,,Calaveras,Black Creek Nr Copperopolis,746
S52,Stanislaus R,San Joaquin River,38.297501,-119.74028,Dardanelle,PG&E,Data Xchg-pge,Tuolumne,Mf Stanislaus R At Kennedy Meadows,6326
S12,Stanislaus R,San Joaquin River,38.183056,-120.157776,Avery,PG&E,Data Xchg-pge,Tuolumne,Mf Stanislaus R Bl Sandbar Div Dam,2720
AVY,Stanislaus R,San Joaquin River,38.243889,-120.290001,Avery,Northern California Power Agency,Data Xchg-ncpa,Calaveras,North Fork Stanislaus Near Avery,3388
NSD,Stanislaus R,San Joaquin River,38.434,-120.018,Arnold,Northern California Power Agency,Data Xchg-ncpa,Calaveras,North Fork Stanislaus R Blw Diversion,6640
S61,Stanislaus R,San Joaquin River,38.197498,-120.0075,Strawberry,PG&E,Data Xchg-pge,Tuolumne,Sf Stanislaus R At Strawberry,5235
S83,Stanislaus R,San Joaquin River,38.177776,-120.04583,Strawberry,PG&E,Data Xchg-pge,Tuolumne,Sf Stanislaus R Nr Strawberry Div Dam,4915
KOT,Stanislaus R,San Joaquin River,37.69978,-121.170194,Modesto,DWR/South Central Region ,Satellite,Stanislaus,Stanislaus R At Koetitz Ranch,54
OBB,Stanislaus R,San Joaquin River,37.783,-120.75,Oakdale,DWR/South Central Region ,,Stanislaus,Stanislaus R At Orange Blossom Bridge,117
RIP,Stanislaus R,San Joaquin River,37.7296524,-121.1104965,Ripon,USGS,,San Joaquin,Stanislaus River At Ripon,73
CBD,Tuolumne R,San Joaquin River,37.89020157,-119.969902,Mather,USGS,,Tuolumne,Cherry Ck Bl Dion R Ph Nr Mather,2150
CBV,Tuolumne R,San Joaquin River,37.96770096,-119.9174042,Mather,USGS,,Tuolumne,Cherry Ck Bl Valley Dam Nr Hetch Hetchy,4337
CEI,Tuolumne R,San Joaquin River,37.89436722,-119.9626846,Mather,USGS,,Tuolumne,Cherry Creek Near Early Intake,2272
DCM,Tuolumne R,San Joaquin River,37.657,-120.923,Modesto,DWR/South Central Region ,,Stanislaus,Dry Creek At Modesto At Claus Road,88
ECK,Tuolumne R,San Joaquin River,37.96908951,-119.8821259,Mather,USGS,,Tuolumne,Eleanor Ck Nr Hetch Hetchy,4500
FHH,Tuolumne R,San Joaquin River,37.9708,-119.7633,Mather,City & County of San Francisco,,Tuolumne,Falls Ck Nr Hetch Hetchy,5350
MTO,Tuolumne R,San Joaquin River,37.8283,-120.1081,Groveland,City & County of San Francisco,,Tuolumne,Mf Tuolumne R Nr Oakland Rec Camp,2800
STO,Tuolumne R,San Joaquin River,37.8217,-120.0119,Groveland,City & County of San Francisco,,Tuolumne,Sf Tuolumne R Nr Oakland Rec Camp,2800
TUM,Tuolumne R,San Joaquin River,37.873,-119.35,Tuolumne Meadows,DWR,,Tuolumne,Tuolumne Meadows,8600
TAI,Tuolumne R,San Joaquin River,37.87936783,-119.9471283,Mather,USGS,,Tuolumne,Tuolumne R Abv Early Intake Near Mather,2420
TGC,Tuolumne R,San Joaquin River,37.91658783,-119.6598969,Yosemite,USGS,,Tuolumne,Tuolumne R At The Grand Cyn Of Tuolumne,3830
TRW,Tuolumne R,San Joaquin River,37.6336,-120.76556,Waterford,DWR/South Central Region ,Satellite,Stanislaus,Tuolumne R At Waterford,100
TBI,Tuolumne R,San Joaquin River,37.8815918,-119.9701843,Mather,USGS,,Tuolumne,Tuolumne R Bl Early Intake Near Mather,2200
LGN,Tuolumne R,San Joaquin River,37.6663208,-120.4421387,La Grange,USGS,,Stanislaus,Tuolumne R Blw La Grange Dam Nr La Grang,170
MOD,Tuolumne R,San Joaquin River,37.62687683,-120.9879913,Modesto,USGS,Satellite,Stanislaus,Tuolumne River At Modesto,90
TRH,Tuolumne R,San Joaquin River,37.93741989,-119.798233,Mather,USGS,,Tuolumne,Tuolumne River Near Hetch Hetchy,3430
UCC,Tuolumne R,San Joaquin River,38.031331,-119.901417,Hetch Hetchy,San Francisco County,Satellite,Tuolumne,Upper Cherry Ck,4750
BGF,Merced R,San Joaquin River,37.46944,-119.61417,Fish Camp,Madera Irrigation District,Satellite,Mariposa,Big Ck Diversion Nr Fish Camp,5400
BDV,Merced R,San Joaquin River,37.3328,-120.3944,Planada,USACE,,Merced,Black Rascal Diversion,183
DSN,Merced R,San Joaquin River,37.555,-120.463,Snelling,Merced Irrigation District,Satellite,Merced,Dry Creek Nr Snelling,230
AMR,Merced R,San Joaquin River,37.46806,-120.53889,Snelling,Merced Irrigation District,Satellite,Merced,Merced R At Amsterdam Rd,173
HIB,Merced R,San Joaquin River,37.73159409,-119.5587769,Yosemite,USGS,,Mariposa,Merced R At Happy Isles Br Nr Yosemite,4016
H59,Merced R,San Joaquin River,37.47028,-120.5,Snelling,Merced Irrigation District,Satellite,Merced,Merced R At Hwy 59 (mid),210
POH,Merced R,San Joaquin River,37.71687317,-119.666275,Yosemite,USGS,,Mariposa,Merced R At Pohono Br Nr Yosemite,3862
MBN,Merced R,San Joaquin River,37.45417,-120.60778,Cressy,Merced Irrigation District,Satellite,Merced,Merced R At Shaffer Bridge Nr Cressy,117
MBH,Merced R,San Joaquin River,37.515,-120.37,Snelling,Merced Irrigation District,Satellite,Merced,Merced R Blw Crocker-huffman Dam,294
CRS,Merced R,San Joaquin River,37.425,-120.663,Cressy,DWR/South Central Region ,,Merced,Merced River At Cressy,165
MMF,Merced R,San Joaquin River,37.522,-120.331,Snelling,Merced Irrigation District,,Merced,Merced River Below Merced Falls,310
MBB,Merced R,San Joaquin River,37.5989,-119.9781,Briceburg,Merced Irrigation District,,Mariposa,Merced River Near Briceburg,1150
MSN,Merced R,San Joaquin River,37.502,-120.451,Snelling,DWR/South Central Region ,,Merced,Merced River Near Snelling,260
MST,Merced R,San Joaquin River,37.371,-120.931,Stevinson,DWR/South Central Region ,,Merced,Merced River Near Stevinson,82
SMW,Merced R,San Joaquin River,37.5417,-119.6722,Wawona,Merced Irrigation District,,Mariposa,South Fork Merced River At Wawona,3960
FHL,Fresno R,San Joaquin River,37.1506,-119.8561,Madera,USACE,,Madera,Fresno R Abv Henley Lake,540
FRU,Fresno R,San Joaquin River,37.345,-119.6392,Oakhurst,DWR/South Central Region ,Satellite,Madera,Fresno R Lewis Fork Nr Oakhurst,2295
BSD,San Joaquin R,San Joaquin River,37.2547,-120.7194,Madera,DWR/South Central Region ,,Madera,Bear Ck Blw Eastside Canal,95
MCK,San Joaquin R,San Joaquin River,37.3092,-120.4456,Planada,USACE,,Merced,Bear Creek At Mc Kee Road,167
CBP,San Joaquin R,San Joaquin River,36.774,-120.285,Mendota,San Luis Delta-Mendota Water Authority,,Madera,Chowchilla Bypass,170
DAR,San Joaquin R,Sacramento River,37.768959,-121.419414,Tracey,DWR/North Central Region ,Satellite,San Joaquin,Drainage At Arbor Road,20
DSJ,San Joaquin R,San Joaquin River,38.013,-121.671,Oakley,USGS,,Contra Costa,Dutch Slough At Jersey Island,10
EBM,San Joaquin R,San Joaquin River,37.205,-120.6981,Merced,DWR/South Central Region ,,Merced,Eastside Bypass Blw Mariposa Bypass,115
ELN,San Joaquin R,San Joaquin River,37.1475,-120.6053,Merced,DWR/Flood Management,,Merced,Eastside Bypass Near El Nido,100
FCT,San Joaquin R,San Joaquin River,38.067822,-121.648838,Antioch,DWR/North Central Region ,Data Xchg-dwr Ncro,San Joaquin,Fishermans Cut,4
GLC,San Joaquin R,San Joaquin River,37.8196,-121.5485,Tracy,USGS & DWR,,San Joaquin,Grantline Canal (usgs),10
HOL,San Joaquin R,San Joaquin River,38.0164,-121.5819,Bethel Island,USGS & DWR,,San Joaquin,Holland Cut Near Bethel Island,0
JBP,San Joaquin R,San Joaquin River,36.653,-120.18,San Joaquin,Reclamation District 1606,,Fresno,James Bypass,170
LDC,San Joaquin R,San Joaquin River,36.934193,-119.729557,Fresno,USBR,,Fresno,Little Dry Creek (usbr),350
LPS,San Joaquin R,San Joaquin River,38.0964,-121.4961,Terminous,USGS,,San Joaquin,Little Potato Slough At Terminous,0
MAB,San Joaquin R,San Joaquin River,37.88518143,-121.4727631,Stockton,DWR/North Central Region ,Data Xchg-dwr Ncro,San Joaquin,Middle River Above Barrier,7
MRU,San Joaquin R,San Joaquin River,37.8339,-121.386,Lathrop,DWR/North Central Region ,Data Xchg-dwr Ncro,San Joaquin,Middle River At Undine Road,0
HLT,San Joaquin R,San Joaquin River,38.0031,-121.5108,Holt,USGS & DWR,,San Joaquin,Middle River Near Holt,0
MSG,San Joaquin R,San Joaquin River,37.2625,-120.9056,Gustine,USGS,,Merced,Mud Slough Nr Gustine,70
NFW,San Joaquin R,San Joaquin River,37.3978,-119.5592,Oakhurst,Madera Irrigation District,,Madera,N Fk Willow Ck Nr Sugar Pine,5200
ORX,San Joaquin R,San Joaquin River,37.810997,-121.386576,Tracy,DWR/North Central Region ,Data Xchg-dwr Ncro,San Joaquin,Old River Above Doughty Cut,8
ORI,San Joaquin R,San Joaquin River,37.828,-121.5526,Byron,DWR/North Central Region ,,Contra Costa,Old River At Clifton Court Intake,0
OH1,San Joaquin R,San Joaquin River,37.80755234,-121.3312531,Tracy,DWR/North Central Region ,,San Joaquin,Old River At Head,15
ORQ,San Joaquin R,San Joaquin River,38.0272,-121.5645,Bethel Island,USGS & DWR,,San Joaquin,Old River At Quimbly Is Near Bethel Is,0
ORM,San Joaquin R,San Joaquin River,37.79384,-121.51738,Tracy,DWR/North Central Region ,Data Xchg-dwr Ncro,San Joaquin,Old River Upstream Of Mountain House Crk,5
ORE,San Joaquin R,San Joaquin River,37.31549072,-121.125206,Newman,USGS,,Stanislaus,Orestimba Creek Nr Newman,0
PDC,San Joaquin R,San Joaquin River,37.8020598,-121.4122564,Tracy,DWR/North Central Region ,Data Xchg-dwr Des,San Joaquin,Paradise Cut,8
SSH,San Joaquin R,San Joaquin River,37.2478,-120.8511,Stevinson,USGS,,Merced,Salt Slough At Hwy 165 Nr Stevinson,75
SMN,San Joaquin R,San Joaquin River,37.34721375,-120.976181,Newman,USGS,Satellite,Stanislaus,San Joaquin R Abv Merced R Nr Newman,60
BDT,San Joaquin R,San Joaquin River,37.865,-121.3231,Lathrop,DWR/Operations & Maintenance,,San Joaquin,San Joaquin R At Brandt Bridge,0
DNB,San Joaquin R,San Joaquin River,36.8335,-119.9658,Fresno,USBR,,Madera,San Joaquin R At Donny Bridge,239
FFB,San Joaquin R,San Joaquin River,37.30994034,-120.9310379,Gustine,USGS,,Merced,San Joaquin R At Fremont Ford Bridge,65
H41,San Joaquin R,Sacramento River,36.8762,-119.7932,Fresno,USBR,,Madera,San Joaquin R At Hwy 41,260
MRB,San Joaquin R,San Joaquin River,37.6414,-121.2276,San Joaquin City,DWR,,Stanislaus,San Joaquin R At Maze Rd Bridge,39
PRI,San Joaquin R,San Joaquin River,38.0594,-121.5572,Terminous,USGS,,San Joaquin,San Joaquin R At Prisoners Pt Nr Termino,0
SKB,San Joaquin R,San Joaquin River,36.8229,-120.0884,Kerman,USBR,Satellite,Madera,San Joaquin R Blw Hwy 145 (skaggs Br),200
SCL,San Joaquin R,San Joaquin River,37.43188095,-121.0138168,Crows Landing,USGS,,Stanislaus,San Joaquin R Nr Crows Landing,60
SDP,San Joaquin R,San Joaquin River,36.994,-120.5015,Dos Palos,DWR,Satellite,Fresno,San Joaquin R Nr Dos Palos,116
SWA,San Joaquin R,San Joaquin River,37.11532,-120.587,Merced,DWR/South Central Region ,,Merced,San Joaquin R Nr Washington Rd,109
SJG,San Joaquin R,San Joaquin River,37.935,-121.329,Stockton,USGS,,San Joaquin,San Joaquin River At Garwood Bridge,13
GRF,San Joaquin R,San Joaquin River,36.798,-120.16,Mendota,USBR,,Fresno,San Joaquin River At Gravelly Ford,170
SJJ,San Joaquin R,San Joaquin River,38.052,-121.689,Oakley,USGS,,Contra Costa,San Joaquin River At Jersey Point (usgs),10
MSD,San Joaquin R,San Joaquin River,37.786,-121.306,Manteca,DWR/Division of Environmental Service,,San Joaquin,San Joaquin River At Mossdale Bridge,31
SJB,San Joaquin R,San Joaquin River,36.773,-120.286,Mendota,USBR,Satellite,Madera,San Joaquin River Below Bifurcation,170
SJF,San Joaquin R,San Joaquin River,36.98439407,-119.7243118,Fresno,USGS,,Fresno,San Joaquin River Below Friant,294
SJA,San Joaquin R,San Joaquin River,37.132,-119.531,Auberry,PG&E,,Fresno,San Joaquin River Near Auberry,870
SJC,San Joaquin R,San Joaquin River,37.980266,-121.385717,Stockton,DWR/North Central Region ,Data Xchg-dwr Ncro,San Joaquin,San Joaquin River Near Buckley Cove,10
MEN,San Joaquin R,San Joaquin River,36.81050491,-120.3782272,Mendota,USGS,,Fresno,San Joaquin River Near Mendota,170
NEW,San Joaquin R,San Joaquin River,37.35049438,-120.97715,Newman,USGS,,Merced,San Joaquin River Near Newman,90
SJP,San Joaquin R,San Joaquin River,37.494,-121.081,Patterson,DWR/South Central Region ,Satellite,Stanislaus,San Joaquin River Near Patterson,97
SJS,San Joaquin R,San Joaquin River,37.295,-120.851,Stevenson,DWR/South Central Region ,,Merced,San Joaquin River Near Stevinson,82
VNS,San Joaquin R,San Joaquin River,37.67604065,-121.2663269,Modesto,USGS & DWR,,San Joaquin,San Joaquin River Near Vernalis,35
SGA,San Joaquin R,San Joaquin River,37.7928598,-121.4214954,Tracy,DWR/North Central Region ,Data Xchg-dwr Des,San Joaquin,Sugar Cut,8
TRN,San Joaquin R,San Joaquin River,37.9928,-121.4542,Holt,USGS & DWR,,San Joaquin,Turner Cut Near Holt,0
WCI,San Joaquin R,San Joaquin River,37.8316,-121.554,Byron,DWR/North Central Region ,,Contra Costa,West Canal At Clifton Court Intake,0
DKS,Kings R,Tulare Lake,36.9081,-119.1242,Piedra,PG&E,Satellite,Fresno,Dinkey Ck Siphon,1320
KRT,Kings R,San Joaquin River,36.8747,-119.1408,Sanger,USACE,,Fresno,Kings R Nr Trimmer,942
MBK,Kings R,Tulare Lake,37.081,-118.862,Shaver Lake,"Pacific Gas & Electric Company, Auberry",,Fresno,Kings River At Meadowbrook,8150
AMW,Kings R,Tulare Lake,36.386,-119.787,Lemoore,USACE,,Kings,Kings River Below Army Weir,230
PDR,Kings R,San Joaquin River,36.819,-119.3409,Piedra,USACE,,Fresno,Mill Creek Near Piedra,550
NKD,Kings R,Tulare Lake,36.88,-119.128,Sanger,PG&E,,Fresno,Nf Kings River Blw Dinkey Creek,1035
KBC,Kings R,Tulare Lake,36.80889,-118.77806,Cedar Grove,Kings River Water Association,Satellite,Fresno,Sf Kings R Abv Boyden Cavern,3779
KRR,Kings R,Tulare Lake,36.786958,-118.616571,Cedar Grove,Kings River Water Association,Satellite,Fresno,Sf Kings R Abv Roaring R,4851
LCV,Kaweah R,Tulare Lake,36.4504,-119.0284,Woodlake,USACE,,Tulare,Dry Creek Near Lemoncove,589
TRR,Kaweah R,Tulare Lake,36.4439,-118.9044,Three Rivers,USACE,,Tulare,Kaweah River At Three Rivers,833
EBY,Tule R,Tulare Lake,36.124929,-119.356306,Tipton,Kaweah Delta Water Conservation District,Satellite,Tulare,Elk Bayou,248
KKV,Kern R,Tulare Lake,35.7544,-118.4225,Kernville,USACE,,Kern,Kern R At Kernville,2635
KRD,Kern R,Tulare Lake,35.4602,-118.7804,Bakersfield,"Pacific Gas & Electric Company, Auberry",,Kern,Kern R Bl Kern Cyn Ph Div Dam Ke-16,2100
SKO,Kern R,Tulare Lake,35.73745346,-118.1736908,Onyx,USGS,,Kern,South Fork Kern River Near Onyx,2900
LGC,Los Gatos Cr (near Coalinga),Tulare Lake,36.2146759,-120.4707108,Coalinga,USGS,,Fresno,Los Gatos Creek Near Coalinga,1080
TOT,Susan R,North Lahontan,40.3814,-120.4342,Standish,DWR/Operations & Maintenance,,Lassen,Combined Ssd & Wcd Flows,4030
SSD,Susan R,North Lahontan,40.38109207,-120.4350357,Standish,DWR/North Region ,,Lassen,Susan R Nr Standish,4030
SSU,Susan R,North Lahontan,40.41371536,-120.6642227,Susanville,DWR/North Region ,,Lassen,Susan River At Susanville,4190
WCD,Susan R,North Lahontan,40.38116837,-120.4349976,Standish,DWR/North Region ,,Lassen,Willow Creek Near Standish,4030
DNC,Truckee R,North Lahontan,39.32351685,-120.2343674,Truckee,USGS,,Nevada,Donner Creek At Donner Lake,5924
DCK,Truckee R,North Lahontan,39.32101822,-120.2079773,Truckee,USGS,,Nevada,Donner Creek At Hwy 89,5870
INC,Truckee R,North Lahontan,39.4565717,-120.2871477,Truckee,USGS,,Sierra,Independence Creek Near Truckee,6920
LAB,Truckee R,North Lahontan,39.43574142,-120.0843658,Truckee,USGS & DWR,,Nevada,Little Truckee R Abv Boca Reservoir,5619
LTK,Truckee R,North Lahontan,39.38685226,-120.0954742,Truckee,USGS,,Nevada,Little Truckee R Bl Boca Res,5500
MTK,Truckee R,North Lahontan,39.32879639,-120.1176987,Truckee,USACE,,Nevada,Martis Ck Nr Truckee,5730
PTK,Truckee R,North Lahontan,39.37324142,-120.1315842,Truckee,USGS,,Nevada,Prosser Creek Near Truckee,5602
STP,Truckee R,North Lahontan,39.471,-120.103,Truckee,USGS,,Sierra,Stampede,5956
TBB,Truckee R,Sacramento River,39.38518524,-120.0876999,Truckee,USGS & DWR,,Nevada,Truckee R At Boca Bridge,5484
FAR,Truckee R,North Lahontan,39.42796326,-120.0340881,Floriston,USGS,,Nevada,Truckee River At Farad,5153
TTC,Truckee R,North Lahontan,39.1662941,-120.1443558,Tahoe City,USGS,,Placer,Truckee River At Tahoe City,5930
TRK,Truckee R,North Lahontan,39.29629517,-120.2054749,Truckee,USGS,,Nevada,Truckee River Near Truckee,5858
UPT,Truckee R,North Lahontan,38.92240906,-119.9915695,South Lake Tahoe,USGS,,El Dorado,Upper Truckee At South Lake Tahoe,6229
WWR,Walker R,North Lahontan,38.378,-119.449,Coleville,USGS,,Mono,West Walker River Nr Coleville,6591
